brand_name,peta,leaping_bunny,parent_company,parent_status,notes
Geltor,TRUE,FALSE,,unknown,
GEMSTHETIX,FALSE,TRUE,,unknown,
Gemstone Organic,TRUE,TRUE,,unknown,
Gen See,FALSE,TRUE,,unknown,
GENDECODE,TRUE,FALSE,,unknown,
GENEBODY BOTANICALS,TRUE,FALSE,,unknown,
Genial Day,FALSE,TRUE,,unknown,
GENIE THE BOTTLE,TRUE,FALSE,,unknown,
Gentlemen’s Tonic,TRUE,FALSE,,unknown,
Genuine Glow,TRUE,FALSE,,unknown,
Geologie Cosmetics,TRUE,FALSE,,unknown,
Georganics,TRUE,FALSE,,unknown,
George Haircare,TRUE,FALSE,,unknown,
Gerlindenaturals,TRUE,FALSE,,unknown,
Geti Cosmetics,TRUE,FALSE,,unknown,
GetStonned,FALSE,TRUE,,unknown,
Ghostwriter Holdings,TRUE,FALSE,,unknown,
Giella,TRUE,FALSE,,unknown,
Gigi,FALSE,TRUE,,unknown,
Gigi Laboratories,TRUE,FALSE,,unknown,
Gigibee Beauty,TRUE,FALSE,,unknown,
Gilchrist & Soames,FALSE,TRUE,,unknown,
"Gilden Tree, The",TRUE,FALSE,,unknown,
Gillette Co.,TRUE,FALSE,Procter & Gamble,bad,P&G sells in China
Gimme Lash,TRUE,FALSE,,unknown,
GIN AMBER BEAUTY,FALSE,TRUE,,unknown,
Ginger Lily Botanicals,TRUE,FALSE,TNG Worldwide,ok,
Ginger Milk Natural Care,TRUE,FALSE,,unknown,
GINZAI,TRUE,FALSE,,unknown,
GIO Cosmetics,TRUE,FALSE,,unknown,
Giordano Colors,FALSE,TRUE,,unknown,
Giorgio Armani,TRUE,FALSE,L’Oreal,bad,L'Oréal sells in China
Giovanna Baby,TRUE,FALSE,,unknown,
Giovanni,FALSE,TRUE,,unknown,
Giovanni Cosmetics,TRUE,FALSE,,unknown,
Giraluna Cosmética,TRUE,FALSE,,unknown,
Girlactik,TRUE,FALSE,,unknown,
GIRLPALOOZA,TRUE,FALSE,,unknown,
GIRLPOWER By Blush-Bar/Blush-Bar Brushes and Accessories,TRUE,FALSE,,unknown,
gitti,TRUE,FALSE,,unknown,
Give A Sht,TRUE,FALSE,Fitiki,ok,
Give Naturals,TRUE,FALSE,,unknown,
Give Them Lala Beauty,TRUE,FALSE,,unknown,
Givenchy Inc.,TRUE,FALSE,,unknown,
Giving Palette,TRUE,FALSE,,unknown,
GKhair,TRUE,FALSE,Van Tibolli,ok,
Glacé Spa Clay,FALSE,TRUE,,unknown,
