brand_name,ulta_slug
The INKEY List,inkey-list
The Lip Bar,lip-bar
The Nue Co.,nue-co
The Ordinary,ordinary
The Organic Skin Co.,organic-skin-co
THE ROUTE,route
The Vintage Cosmetic Company,vintage-cosmetic-company
Therabody,therabody
TheraBreath,therabreath
Tiege Hanley,tiege-hanley
Tiffany &amp; Co.,tiffany-co
Timebeam,timebeam
Tippy Type,tippy-type
TIRTIR,tirtir
TOCCA,tocca
TOM FORD,tom-ford
TONYMOLY,tonymoly
Too Faced,too-faced
Toppik,toppik
Tory Burch,tory-burch
Touchland,touchland
TPOB,tpob
Tree Hut,tree-hut
Tricoci,tricoci
Trilastin,trilastin
Triumph &amp; Disaster,triumph-disaster
True + Pure Texture,true-pure-texture
Truezyme,truezyme
Truly,truly
TruSkin,truskin
TULA,tula
Tweezerman,tweezerman
TYMO Beauty,tymo-beauty
Ulike,ulike
Unbound,unbound
UNbrush,unbrush
Undefined Beauty,undefined-beauty
Uni,uni
UNITE Hair,unite-hair
Unleashia,unleashia
UOMA Beauty,uoma-beauty
Urang,urang
Urban Decay Cosmetics,urban-decay-cosmetics
Urban Hydration,urban-hydration
Urban Skin Rx,urban-skin-rx
Urban Veda,urban-veda
Ursa Major,ursa-major
V by Velour,v-by-velour
Vacation,vacation
Vahy,vahy
Valentino,valentino
VANICREAM,vanicream
Vanity Planet,vanity-planet
Variety,variety
Vaseline,vaseline
Veea Face,veea-face
Veggimins,veggimins
Velour Lashes,velour-lashes
Vera Wang,vera-wang
Verb,verb
Veriphy Skincare,veriphy-skincare
Versace,versace
Versed,versed
Vichy,vichy
VIDIVICI,vidivici
Viktor&amp;Rolf,viktor-rolf
VIO2,vio2
Virtue,virtue
Vital Proteins,vital-proteins
Vitruvi,vitruvi
VIVAIODAYS,vivaiodays
Viviscal,viviscal
VOESH,voesh
VOLITION,volition
Voloom,voloom
VT Cosmetics,vt-cosmetics
VUSH,vush
Wakse,wakse
Wangi Wellness,wangi-wellness
Water.io,waterio
Wavytalk,wavytalk
WeGym,wegym
Well People,well-people
Wella,wella
Wet Brush,wet-brush
Wet n Wild,wet-n-wild
WEWOREWHAT,weworewhat
White Lotus Beauty,white-lotus-beauty
Who Is Elijah,who-elijah
Wigo,wigo
Wildfleur,wildfleur
Winky Lux,winky-lux
Womaness,womaness
Wrinkles Schminkles,wrinkles-schminkles
WTHN,wthn
Wunderbrow,wunderbrow
WYLYS,wylys
XMONDO,xmondo
Yadah,yadah
Yoga Design Lab,yoga-design-lab
Youthforia,youthforia
Yves Saint Laurent,yves-saint-laurent
Zadro,zadro
Zoya,zoya
